2022-07-23/09:20:51		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:37		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:22:38		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:57		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
2022-07-23/09:34:58		 wafer_29012020_050617.csv: File loaded successfully!!
